iTunes_ID,wrapperType,movie_title,artist_id,artist_name,rental_price,main_price,hd_main_price,hd_rental_price,releaseDate,country,currency,synopsis,genre,runtime,rate_to_USD,main_price_USD,rental_price_USD,hd_main_price_USD,hd_rental_price_USD,relDate_DT,days_from_release
1434878646.0,track,The Predator,,Shane Black,,19.99,19.99,,2018-09-14T07:00:00Z,USA,USD,"From the outer reaches of space to the to the backwoods of southern Georgia, the hunt comes home in Shane Black’s explosive reinvention of the Predator series. Now, the universe’s most lethal hunters are stronger, smarter and deadlier than ever before. And only a ragtag crew of ex-soldiers and an evolutionary biology professor can prevent the end of the human race.",Action & Adventure,6456698.0,1.0,19.99,,19.99,,2018-09-14 07:00:00,117
1406515547.0,track,Mission: Impossible - Fallout,,Christopher McQuarrie,5.99,14.99,19.99,5.99,2018-07-27T07:00:00Z,USA,USD,"On a dangerous assignment to recover stolen plutonium, Ethan Hunt (Tom Cruise) chooses to save his team over completing the mission, allowing nuclear weapons to fall into the hands of a deadly network of highly-skilled operatives intent on destroying civilization. Now, with the world at risk, Ethan and his IMF team (Simon Pegg, Ving Rhames, Rebecca Ferguson) are forced to become reluctant partners with a hard-hitting CIA agent (Henry Cavill) as they race against time to stop the nuclear fallout. There’s never been a threat more destructive, stunts so jaw-dropping or a mission so impossible!",Action & Adventure,8873322.0,1.0,14.99,5.99,19.99,5.99,2018-07-27 07:00:00,166
1417714264.0,track,The Meg,,Jon Turteltaub,5.99,19.99,19.99,5.99,2018-08-10T07:00:00Z,USA,USD,"A deep-sea submersible filled with an international research crew lies disabled at the bottom of the Pacific after having been attacked by a massive shark previously thought to be extinct. With time running out, expert deep sea rescue diver Jonas Taylor (Jason Statham) is recruited by a visionary Chinese oceanographer (Winston Chao) to save the crew—and the ocean itself—from this unstoppable threat: a pre-historic 75-foot-long shark known as the Megalodon. What no one could have imagined is that years before, Taylor had encountered this same terrifying creature. Now he must risk his own life to save everyone trapped below...bringing him face to face once more with the greatest and largest predator of all time!",Action & Adventure,6791552.0,1.0,19.99,5.99,19.99,5.99,2018-08-10 07:00:00,152
1404080211.0,track,Mile 22,,Peter Berg,5.99,12.99,14.99,5.99,2018-08-17T07:00:00Z,USA,USD,"In a visceral modern thriller from the director of Lone Survivor, Mark Wahlberg stars as James Silva, an operative of the CIA’s most highly-prized and least-understood unit. Aided by a top-secret tactical command team, Silva must retrieve and transport an asset who holds life-threatening information to Mile 22 for extraction before the enemy closes in.",Action & Adventure,5661440.0,1.0,12.99,5.99,14.99,5.99,2018-08-17 07:00:00,145
1392900449.0,track,Incredibles 2,,Brad Bird,4.99,14.99,14.99,5.99,2018-06-15T07:00:00Z,USA,USD,"In Incredibles 2, Helen is called on to lead a campaign to bring Supers back, while Bob navigates the day-to-day heroics of “normal” life at home with Violet, Dash and baby Jack-Jack – whose superpowers are about to be discovered. Their mission is derailed, however, when a new villain emerges with a brilliant and dangerous plot that threatens everything. But the Parrs don’t shy away from a challenge, especially with Frozone by their side. That’s what makes this family so Incredible.",Action & Adventure,7069183.0,1.0,14.99,4.99,14.99,5.99,2018-06-15 07:00:00,208
1413642947.0,track,Peppermint,,Pierre Morel,5.99,12.99,14.99,5.99,2018-09-07T07:00:00Z,USA,USD,"Peppermint is an action thriller which tells the story of young mother Riley North (Jennifer Garner) who awakens from a coma after her husband and daughter are killed in a brutal attack on the family. When the system frustratingly shields the murderers from justice, Riley sets out to transform herself from citizen to urban guerilla. Channeling her frustration into personal motivation, she spends years in hiding honing her mind, body and spirit to become an unstoppable force – eluding the underworld, the LAPD and the FBI- as she methodically delivers her personal brand of justice.",Action & Adventure,6097600.0,1.0,12.99,5.99,14.99,5.99,2018-09-07 07:00:00,124
1406533645.0,track,The Equalizer 2,,Antoine Fuqua,5.99,18.99,19.99,5.99,2018-07-13T07:00:00Z,USA,USD,Denzel Washington returns to one of his signature roles in the first sequel of his career. Robert McCall serves an unflinching justice for the exploited and oppressed – but how far will he go when that is someone he loves?,Action & Adventure,7272138.0,1.0,18.99,5.99,19.99,5.99,2018-07-13 07:00:00,180
1420240763.0,track,Alpha,,Albert Hughes,5.99,14.99,14.99,5.99,2018-09-13T07:00:00Z,USA,USD,"An epic adventure set in the last Ice Age. Europe, 20,000 years ago. While on his first hunt with his tribe’s most elite group, a young man is injured and left for dead. Awakening to find himself broken and alone -- he must learn to survive and navigate the harsh and unforgiving wilderness. Reluctantly taming a lone wolf abandoned by its pack, the pair learn to rely on each other and become unlikely allies, enduring countless dangers and overwhelming odds in order to find their way home before the deadly winter arrives.",Action & Adventure,5790415.0,1.0,14.99,5.99,14.99,5.99,2018-09-13 07:00:00,118
1396966588.0,track,Sicario: Day of the Soldado,,Stefano Sollima,5.99,18.99,19.99,5.99,2018-06-27T07:00:00Z,USA,USD,Federal agent Matt Graver (Josh Brolin) calls on the mysterious Alejandro (Benicio Del Toro) to escalate the drug war in unscrupulous ways.,Action & Adventure,7343712.0,1.0,18.99,5.99,19.99,5.99,2018-06-27 07:00:00,196
1053727149.0,track,Creed,,Ryan Coogler,3.99,14.99,14.99,3.99,2015-11-25T08:00:00Z,USA,USD,"Adonis Johnson never knew his famous father, world heavyweight champion Apollo Creed, who died before he was born. Still, there's no denying that boxing is in his blood; so Adonis heads to Philadelphia, the site of Apollo Creed's legendary match with a tough upstart named Rocky Balboa. Once in the City of Brotherly Love, Adonis tracks Rocky down and asks him to be his trainer. Despite his insistence that he is out of the fight game for good, Rocky sees in Adonis the strength and determination he had known in Apollo - the fierce rival who became his closet friend. Agreeing to take him on, Rocky trains the young fighter, even as the former champ is battling an opponent more deadly than any he faced in the ring. With Rocky in his corner, it isn't long before Adonis gets his own shot at the title. But can he develop not only the drive but also the heart of a true fighter in time to get into the ring?",Drama,7990648.0,1.0,14.99,3.99,14.99,3.99,2015-11-25 08:00:00,1141
1416993933.0,track,The Spy Who Dumped Me,,Susanna Fogel,5.99,9.99,9.99,5.99,2018-08-03T07:00:00Z,USA,USD,"Audrey and her friend Morgan are going about their humdrum lives when Audrey's unassuming ex-boyfriend Drew shows up at their apartment with a team of deadly assassins on his trail. Surprising even themselves, the two friends jump into action when two men are shot dead on their floor, grabbing a top-secret thumb drive and taking off on an undercover mission to save the world.",Comedy,7014847.0,1.0,9.99,5.99,9.99,5.99,2018-08-03 07:00:00,159
1170244491.0,track,Fantastic Beasts and Where to Find Them,,David Yates,3.99,14.99,14.99,3.99,2017-03-14T07:00:00Z,USA,USD,"“Fantastic Beasts and Where to Find Them” opens in 1926 as Newt Scamander has just completed a global excursion to find and document an extraordinary array of magical creatures. Arriving in New York for a brief stopover, he might have come and gone without incident…were it not for a No-Maj (American for Muggle) named Jacob, a misplaced magical case, and the escape of some of Newt’s fantastic beasts, which could spell trouble for both the wizarding and No-Maj worlds.",Action & Adventure,7975717.0,1.0,14.99,3.99,14.99,3.99,2017-03-14 07:00:00,666
1400637562.0,track,Ant-Man and the Wasp,,Peyton Reed,4.99,14.99,14.99,5.99,2018-07-06T07:00:00Z,USA,USD,"From the Marvel Cinematic Universe comes Ant-Man and the Wasp, a new chapter featuring heroes with the astonishing ability to shrink. In the aftermath of Captain America: Civil War, Scott Lang grapples with his choices as both a super hero and a father. As he struggles to balance his home life with his responsibilities as Ant-Man, he’s confronted by Hope van Dyne and Dr. Hank Pym with an urgent new mission. Scott must once again put on the suit and learn to fight alongside the Wasp as they join forces to uncover secrets from the past.",Action & Adventure,7113730.0,1.0,14.99,4.99,14.99,5.99,2018-07-06 07:00:00,187
